"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Buildings\Artillery.ts", "TypeScript", 51, 0, 10, 61
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Buildings\Barracks.ts", "TypeScript", 178, 7, 26, 211
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Buildings\Building.ts", "TypeScript", 21, 1, 6, 28
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Buildings\ExtractorSite.ts", "TypeScript", 28, 0, 9, 37
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Buildings\LorryHQ.ts", "TypeScript", 20, 0, 7, 27
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Buildings\MiningSite.ts", "TypeScript", 26, 0, 10, 36
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Buildings\ReserveSite.ts", "TypeScript", 19, 0, 9, 28
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Buildings\UpgradeSite.ts", "TypeScript", 42, 0, 7, 49
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\BunkerLayout.ts", "TypeScript", 3, 1, 2, 6
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Commanders\Commander.ts", "TypeScript", 8, 1, 4, 13
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Creep\Creep_Actions.ts", "TypeScript", 131, 0, 19, 150
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Creep\Creep_Main.ts", "TypeScript", 5, 39, 4, 48
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Creep_Setups\CreepSetup.ts", "TypeScript", 50, 3, 18, 71
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Creep_Setups\Setups.ts", "TypeScript", 138, 2, 42, 182
"c:\Users\ADMIN BOI\Documents\GitHub\ScreepsProject\src\Deprecated\LorryManagerDeprecated.ts", "TypeScript", 126, 6, 16, 148
